aX,aY,aZ
0.35,-0.605,-0.721
0.378,-0.618,-0.727
0.4,-0.651,-0.773
0.416,-0.696,-0.79
0.416,-0.727,-0.819
0.406,-0.721,-0.844
0.42,-0.691,-0.877
0.416,-0.677,-0.9
0.406,-0.68,-0.9
0.406,-0.7,-0.86
0.428,-0.714,-0.773
0.448,-0.719,-0.724
0.446,-0.729,-0.704
0.422,-0.736,-0.714
0.37,-0.707,-0.722
0.33,-0.669,-0.723
0.267,-0.608,-0.709
0.228,-0.551,-0.671
0.233,-0.532,-0.679
0.246,-0.537,-0.725
0.284,-0.585,-0.803
0.311,-0.738,-0.883
0.317,-0.7,-0.911
0.361,-0.716,-0.79
0.41,-0.697,-0.677
0.471,-0.724,-0.523
0.525,-0.751,-0.385
0.547,-0.752,-0.359
0.521,-0.747,-0.385
0.484,-0.719,-0.406
0.459,-0.689,-0.45
0.436,-0.712,-0.473
0.435,-0.765,-0.463
0.443,-0.793,-0.453
0.42,-0.786,-0.433
0.134,-0.477,1.472
0.169,-0.277,1.623
0.132,-0.442,1.542
0.037,-0.599,1.464
-0.008,-0.622,1.377
-0.039,-0.616,1.324
-0.053,-0.569,1.256
-0.061,-0.498,1.123
-0.064,-0.465,0.928
-0.096,-0.421,0.721
-0.158,-0.483,0.577
-0.214,-0.509,0.667
-0.244,-0.532,0.826
-0.189,-0.508,1.014
-0.113,-0.476,1.276
-0.046,-0.464,1.339
0.006,-0.488,1.414
0.038,-0.577,1.398
0.046,-0.643,1.292
0.017,-0.693,1.203
-0.017,-0.666,1.072
-0.053,-0.61,1.032
-0.081,-0.547,0.915
-0.089,-0.528,0.826
-0.077,-0.55,0.779
-0.06,-0.571,0.74
-0.03,-0.622,0.726
-0.001,-0.671,0.681
0.016,-0.71,0.673
0.019,-0.728,0.688
0.018,-0.713,0.731
0.01,-0.685,0.798
0.003,-0.64,0.827
-0.005,-0.621,0.846
-0.021,-0.606,0.854
-0.03,-0.597,0.851
-0.042,-0.595,0.846
-0.047,-0.595,0.841
-0.052,-0.595,0.836
-0.056,-0.597,0.837
-0.077,-0.598,0.852
-0.095,-0.566,0.885
-0.103,-0.531,0.878
-0.119,-0.52,0.837
-0.118,-0.513,0.775
-0.098,-0.54,0.734
-0.089,-0.585,0.718
-0.099,-0.598,0.74
-0.092,-0.598,0.787
-0.051,-0.595,0.836
-0.035,-0.59,0.869
-0.023,-0.579,0.862
-0.026,-0.593,0.833
-0.028,-0.607,0.822
-0.031,-0.622,0.818
-0.035,-0.617,0.816
-0.041,-0.598,0.815
-0.05,-0.557,0.818
-0.049,-0.54,0.814
-0.036,-0.539,0.803
-0.028,-0.566,0.786
-0.027,-0.581,0.786
-0.03,-0.587,0.794
-0.031,-0.581,0.811
-0.028,-0.576,0.829
-0.022,-0.561,0.844
-0.021,-0.548,0.846
-0.021,-0.55,0.845
-0.019,-0.559,0.846
-0.017,-0.57,0.849
-0.015,-0.58,0.848
-0.021,-0.583,0.846
-0.031,-0.58,0.848
-0.036,-0.571,0.851
-0.039,-0.561,0.856
-0.047,-0.543,0.852
-0.06,-0.536,0.818
-0.068,-0.541,0.788
-0.059,-0.546,0.772
-0.05,-0.564,0.772
-0.043,-0.569,0.789
-0.037,-0.569,0.824
-0.05,-0.565,0.865
-0.079,-0.571,0.944
-0.063,-0.574,0.977
-0.034,-0.559,0.982
-0.034,-0.562,0.965
-0.05,-0.566,0.929
-0.076,-0.568,0.865
-0.085,-0.556,0.815
-0.081,-0.548,0.807
-0.075,-0.544,0.805
-0.064,-0.535,0.804
-0.059,-0.534,0.801
-0.06,-0.541,0.814
-0.063,-0.545,0.842
-0.046,-0.544,0.863
-0.036,-0.545,0.863
-0.033,-0.55,0.854
-0.035,-0.558,0.835
-0.053,-0.561,0.832
-0.06,-0.559,0.838
-0.066,-0.551,0.851
-0.07,-0.542,0.863
-0.069,-0.537,0.871
-0.063,-0.535,0.875
-0.059,-0.542,0.873
-0.055,-0.556,0.864
-0.053,-0.558,0.859
-0.053,-0.551,0.835
-0.056,-0.543,0.815
-0.06,-0.539,0.796
-0.061,-0.541,0.797
-0.06,-0.543,0.806
-0.056,-0.545,0.814
-0.058,-0.556,0.841
-0.056,-0.562,0.849
-0.056,-0.566,0.842
-0.053,-0.573,0.839
0.415,-0.862,-0.829
0.354,-0.752,-0.852
0.256,-0.836,-0.83
0.138,-0.748,-0.805
0.084,-0.596,-0.76
-0.021,-0.533,-0.76
-0.06,-0.535,-0.804
-0.167,-0.52,-0.741
0.302,-0.109,-0.612
0.335,-0.078,-0.659
0.453,0.049,-0.602
0.389,-0.142,-0.786
0.133,-0.261,-0.909
0.098,-0.373,-0.936
0.109,-0.449,-0.976
0.262,-0.553,-0.925
0.368,-0.685,-0.926
0.385,-0.811,-1.053
0.382,-0.88,-1.18
0.391,-0.861,-1.174
0.398,-0.815,-1.105
0.431,-0.818,-0.974
0.474,-0.814,-0.837
0.452,-0.73,-0.773
0.358,-0.601,-0.83
0.244,-0.494,-0.896
0.165,-0.429,-0.894
0.172,-0.417,-0.874
0.211,-0.435,-0.922
0.265,-0.477,-0.963
0.311,-0.55,-1.058
0.332,-0.619,-1.144
0.378,-0.668,-1.207
0.416,-0.686,-1.22
0.456,-0.715,-1.205
0.504,-0.714,-1.145
0.552,-0.705,-1.093
0.585,-0.695,-1.057
0.598,-0.681,-1.05
0.603,-0.66,-1.051
0.619,-0.642,-1.034
0.636,-0.64,-0.99
0.657,-0.652,-0.921
0.656,-0.643,-0.85
0.638,-0.613,-0.808
0.623,-0.601,-0.793
0.583,-0.579,-0.786
0.526,-0.565,-0.796
0.506,-0.557,-0.841
0.499,-0.583,-0.914
0.497,-0.633,-0.972
0.49,-0.656,-0.994
0.483,-0.695,-0.981
0.48,-0.727,-0.927
0.468,-0.708,-0.854
0.458,-0.641,-0.782
0.467,-0.647,-0.751
0.47,-0.698,-0.718
0.463,-0.729,-0.629
0.436,-0.653,-0.554
0.404,-0.58,-0.543
0.36,-0.511,-0.554
0.344,-0.483,-0.555
0.333,-0.502,-0.55
0.337,-0.519,-0.529
0.345,-0.556,-0.505
0.35,-0.584,-0.499
0.354,-0.602,-0.496
0.368,-0.627,-0.486
0.385,-0.651,-0.469
0.388,-0.676,-0.453
0.39,-0.713,-0.427
0.389,-0.737,-0.373
0.386,-0.775,-0.33
0.385,-0.791,-0.21
0.386,-0.762,-0.088
0.388,-0.743,-0.013
0.346,-0.663,0.026
0.296,-0.614,0.051
0.235,-0.597,0.079
0.233,-0.603,0.095
0.249,-0.625,0.062
0.247,-0.66,0.05
0.237,-0.686,0.029
0.23,-0.708,0.035
0.215,-0.729,0.065
0.214,-0.747,0.107
0.221,-0.757,0.128
0.24,-0.777,0.163
0.253,-0.797,0.194
0.243,-0.81,0.222
0.21,-0.81,0.24
0.16,-0.803,0.308
0.136,-0.779,0.38
0.134,-0.692,0.465
0.134,-0.642,0.488
0.138,-0.602,0.497
0.143,-0.591,0.488
0.145,-0.585,0.471
0.146,-0.596,0.422
0.15,-0.61,0.365
0.122,-0.664,0.325
0.089,-0.683,0.313
0.06,-0.662,0.325
0.045,-0.648,0.372
0.048,-0.671,0.414
0.072,-0.712,0.561
0.102,-0.666,0.832
0.134,-0.61,0.984
0.173,-0.56,1.074
0.099,-0.515,0.951
0.015,-0.489,0.842
-0.043,-0.465,0.813
-0.045,-0.475,0.788
-0.012,-0.551,0.758
0.041,-0.592,0.664
-0.018,-0.594,0.57
-0.053,-0.602,0.544
-0.041,-0.605,0.733
-0.21,-0.827,1
-0.13,-0.827,1.118
-0.078,-0.744,1.2
-0.01,-0.666,1.193
-0.059,-0.547,1.167
-0.124,-0.433,1.158
-0.191,-0.375,1.129
-0.227,-0.332,1.086
-0.245,-0.35,1.009
-0.233,-0.376,0.984
-0.185,-0.416,0.96
-0.125,-0.472,0.94
-0.049,-0.522,0.895
-0.021,-0.582,0.861
-0.03,-0.631,0.839
-0.054,-0.642,0.85
-0.073,-0.638,0.872
-0.072,-0.618,0.897
-0.061,-0.597,0.933
-0.033,-0.558,0.961
-0.065,-0.566,0.947
-0.09,-0.543,0.927
-0.102,-0.493,0.907
-0.1,-0.471,0.891
-0.08,-0.471,0.861
-0.063,-0.491,0.815
-0.05,-0.546,0.781
-0.05,-0.572,0.768
-0.051,-0.591,0.782
-0.053,-0.609,0.81
-0.041,-0.626,0.873
-0.011,-0.625,0.938
0.001,-0.597,0.976
-0.026,-0.543,0.967
-0.072,-0.511,0.936
-0.086,-0.477,0.901
-0.077,-0.477,0.864
-0.06,-0.499,0.841
-0.057,-0.507,0.826
-0.06,-0.525,0.82
-0.064,-0.53,0.846
-0.049,-0.566,0.9
-0.027,-0.592,0.911
-0.021,-0.59,0.9
-0.03,-0.565,0.888
-0.043,-0.536,0.865
-0.057,-0.498,0.852
-0.056,-0.488,0.851
-0.048,-0.493,0.856
-0.032,-0.5,0.847
-0.025,-0.504,0.824
-0.027,-0.512,0.802
-0.027,-0.515,0.795
-0.035,-0.501,0.79
-0.039,-0.496,0.787
-0.05,-0.498,0.788
-0.057,-0.498,0.795
-0.059,-0.502,0.82
-0.053,-0.526,0.842
-0.053,-0.55,0.883
-0.053,-0.551,0.905
-0.055,-0.545,0.909
-0.066,-0.514,0.904
-0.069,-0.493,0.894
-0.079,-0.486,0.883
-0.079,-0.487,0.875
-0.067,-0.495,0.87
-0.059,-0.51,0.864
-0.037,-0.526,0.853
-0.033,-0.537,0.849
-0.034,-0.533,0.84
-0.037,-0.527,0.83
-0.037,-0.513,0.823
-0.038,-0.51,0.819
-0.037,-0.512,0.828
-0.032,-0.513,0.844
-0.021,-0.521,0.856
-0.009,-0.536,0.862
-0.006,-0.549,0.865
-0.005,-0.561,0.862
-0.01,-0.576,0.86
-0.008,-0.579,0.868
-0.005,-0.557,0.87
-0.01,-0.518,0.856
-0.021,-0.506,0.83
-0.034,-0.51,0.813
-0.039,-0.529,0.81
-0.04,-0.55,0.8
-0.039,-0.567,0.805
-0.037,-0.58,0.826
-0.039,-0.574,0.854
-0.039,-0.557,0.876
-0.038,-0.532,0.911
-0.039,-0.501,0.918
-0.046,-0.465,0.915
-0.053,-0.418,0.892
-0.061,-0.415,0.854
-0.061,-0.419,0.832
-0.06,-0.445,0.819
-0.053,-0.483,0.813
-0.044,-0.519,0.803
-0.036,-0.556,0.816
-0.031,-0.557,0.833
-0.034,-0.563,0.833
-0.033,-0.577,0.857
-0.043,-0.576,0.888
-0.052,-0.54,0.915
-0.065,-0.543,0.917
0.014,-0.687,0.904
0.094,-0.749,0.871
0.104,-0.736,0.863
0.084,-0.698,0.851
0.047,-0.62,0.839
0,-0.582,0.824
-0.024,-0.564,0.8
-0.033,-0.579,0.811
-0.018,-0.582,0.854
-0.001,-0.572,0.882
-0.014,-0.588,0.85
0.46,-0.958,-0.498
0.356,-0.833,-0.593
0.245,-0.659,-0.692
0.141,-0.427,-0.852
0.224,-0.223,-0.931
0.24,-0.173,-0.904
0.194,-0.232,-0.892
0.291,-0.299,-0.892
0.344,-0.435,-0.959
0.363,-0.61,-1.016
0.421,-0.727,-0.963
0.546,-0.805,-0.866
0.586,-0.894,-0.865
0.55,-0.886,-0.969
0.467,-0.781,-1.065
0.381,-0.65,-1.099
0.341,-0.562,-1.076
0.376,-0.586,-1.018
0.408,-0.623,-0.998
0.427,-0.632,-1.032
0.453,-0.637,-1.057
0.479,-0.649,-1.033
0.514,-0.663,-0.886
0.555,-0.678,-0.947
0.624,-0.735,-0.91
0.665,-0.793,-0.858
0.699,-0.842,-0.8
0.713,-0.865,-0.758
0.671,-0.829,-0.75
0.5,-0.749,-0.766
0.559,-0.708,-0.806
0.496,-0.649,-0.822
0.442,-0.597,-0.822
0.417,-0.594,-0.802
0.411,-0.623,-0.751
0.437,-0.693,-0.688
0.454,-0.712,-0.616
0.48,-0.709,-0.471
0.5,-0.69,-0.356
0.503,-0.681,-0.314
0.5,-0.686,-0.288
0.506,-0.689,-0.272
0.516,-0.696,-0.286
0.513,-0.704,-0.305
0.5,-0.719,-0.315
0.5,-0.711,-0.318
0.498,-0.686,-0.36
0.487,-0.667,-0.422
0.471,-0.685,-0.489
0.454,-0.714,-0.485
0.444,-0.732,-0.447
0.442,-0.729,-0.374
0.447,-0.732,-0.26
0.458,-0.731,-0.102
0.466,-0.717,0.059
0.485,-0.721,0.202
0.506,-0.75,0.33
0.489,-0.769,0.425
0.438,-0.735,0.463
0.361,-0.633,0.427
0.286,-0.598,0.362
0.216,-0.529,0.323
0.181,-0.512,0.244
0.173,-0.526,0.155
0.185,-0.556,0.001
0.195,-0.625,-0.075
0.195,-0.655,-0.068
0.205,-0.712,0.025
0.231,-0.725,0.092
0.281,-0.722,0.241
0.336,-0.722,0.447
0.371,-0.748,0.575
0.381,-0.794,0.708
0.37,-0.813,0.812
0.347,-0.775,0.848
0.303,-0.703,0.877
0.262,-0.599,0.838
0.165,-0.54,0.758
0.069,-0.443,0.679
0.012,-0.379,0.645
-0.002,-0.363,0.586
-0.004,-0.379,0.532
0.046,-0.5,0.462
0.093,-0.599,0.319
0.106,-0.711,0.255
0.068,-0.733,0.271
0.053,-0.715,0.366
0.081,-0.676,0.615
0.138,-0.643,0.824
0.203,-0.621,1.075
0.231,-0.622,1.3
0.12,-0.543,1.14
0.041,-0.508,1.101
-0.026,-0.455,1.075
-0.058,-0.401,1.012
-0.097,-0.376,0.938
-0.116,-0.387,0.877
-0.093,-0.437,0.807
-0.035,-0.508,0.729
-0.018,-0.589,0.646
0.019,-0.65,0.612
0.031,-0.693,0.658
0.031,-0.71,0.742
0.038,-0.682,0.855
0.061,-0.645,1.03
0.081,-0.634,1.109
0.105,-0.626,1.216
0.06,-0.521,1.242
0.024,-0.538,1.193
-0.037,-0.526,1.146
-0.111,-0.479,1.122
-0.146,-0.426,1.078
-0.157,-0.4,1.038
-0.144,-0.424,1.008
-0.101,-0.499,0.963
-0.09,-0.557,0.928
-0.07,-0.606,0.876
-0.057,-0.634,0.859
-0.05,-0.642,0.842
0.418,-0.524,-1.11
0.523,-0.598,-1.073
0.592,-0.624,-1.014
0.747,-0.656,-0.982
0.643,-0.673,-1.016
0.615,-0.652,-1.086
0.549,-0.624,-1.144
0.53,-0.578,-1.14
0.519,-0.55,-1.145
0.51,-0.56,-1.177
0.505,-0.588,-1.17
0.518,-0.637,-1.127
0.533,-0.644,-1.101
0.539,-0.661,-1.07
0.543,-0.675,-1.019
0.532,-0.671,-0.937
0.513,-0.643,-0.855
0.48,-0.599,-0.83
0.461,-0.601,-0.816
0.457,-0.608,-0.8
0.461,-0.598,-0.799
0.459,-0.591,-0.828
0.447,-0.594,-0.866
0.442,-0.598,-0.9
0.441,-0.611,-0.92
0.45,-0.622,-0.887
0.473,-0.646,-0.821
0.507,-0.673,-0.731
0.537,-0.693,-0.71
0.543,-0.719,-0.714
0.539,-0.775,-0.712
0.537,-0.813,-0.681
0.505,-0.788,-0.631
0.46,-0.731,-0.59
0.42,-0.661,-0.503
0.356,-0.59,-0.441
0.305,-0.53,-0.418
0.268,-0.485,-0.421
0.256,-0.469,-0.439
0.272,-0.502,-0.451
0.316,-0.52,-0.499
0.354,-0.583,-0.581
0.373,-0.658,-0.649
0.393,-0.723,-0.653
0.425,-0.764,-0.609
0.457,-0.781,-0.521
0.512,-0.812,-0.464
0.548,-0.844,-0.372
0.586,-0.887,-0.32
0.594,-0.907,-0.204
0.577,-0.763,-0.006
0.549,-0.823,0.108
0.505,-0.706,0.159
0.427,-0.633,0.146
0.384,-0.586,0.053
0.317,-0.608,-0.035
0.258,-0.682,-0.143
0.243,-0.72,-0.208
0.206,-0.756,-0.245
0.178,-0.772,-0.199
0.184,-0.799,-0.089
0.247,-0.804,0.024
0.294,-0.81,0.159
0.344,-0.833,0.232
0.363,-0.872,0.304
0.355,-0.89,0.412
0.294,-0.817,0.479
0.251,-0.699,0.529
0.199,-0.628,0.521
0.183,-0.579,0.443
0.143,-0.585,0.371
0.098,-0.613,0.325
0.079,-0.642,0.301
0.056,-0.653,0.282
0.046,-0.662,0.277
0.031,-0.64,0.28
-0.02,-0.601,0.285
-0.041,-0.584,0.381
-0.012,-0.588,0.506
-0.005,-0.586,0.605
0.026,-0.565,0.834
0.118,-0.574,0.977
0.103,-0.599,0.976
0.085,-0.614,0.965
0.072,-0.649,1.085
0.077,-0.655,1.156
0.045,-0.59,1.137
-0.019,-0.462,0.993
-0.105,-0.395,0.84
-0.146,-0.364,0.793
-0.193,-0.362,0.696
-0.202,-0.386,0.669
-0.194,-0.45,0.704
-0.143,-0.534,0.773
-0.023,-0.632,0.969
0.023,-0.605,1.173
0.071,-0.566,1.304
0.096,-0.604,1.318
0.08,-0.637,1.297
0.054,-0.639,1.292
0.043,-0.64,1.276
0.028,-0.639,1.236
-0.004,-0.622,1.15
-0.028,-0.579,1.099
-0.045,-0.563,1.047
-0.03,-0.57,0.971
-0.022,-0.591,0.923
-0.009,-0.62,0.876
0.002,-0.65,0.871
0.009,-0.66,0.893
0.014,-0.663,0.923
0.007,-0.653,0.938
-0.014,-0.616,0.97
-0.015,-0.604,0.976
-0.02,-0.603,0.971
-0.02,-0.613,0.961
-0.021,-0.626,0.947
-0.04,-0.629,0.935
-0.047,-0.619,0.914
0.582,-0.659,-0.902
0.565,-0.726,-0.9
0.484,-0.623,-0.937
0.352,-0.505,-1.038
0.263,-0.427,-1.134
0.129,-0.38,-1.182
0.05,-0.303,-1.182
0.098,-0.191,-1.113
0.185,-0.041,-1.016
0.281,-0.012,-1.015
0.285,-0.022,-1.016
0.241,-0.079,-1.08
0.242,-0.126,-1.131
0.258,-0.153,-1.127
0.265,-0.177,-1.124
0.309,-0.193,-1.122
0.314,-0.208,-1.15
0.294,-0.243,-1.222
0.279,-0.347,-1.309
0.442,-0.652,-1.279
0.435,-0.699,-1.296
0.386,-0.666,-1.361
0.317,-0.598,-1.36
0.244,-0.494,-1.308
0.248,-0.427,-1.137
0.256,-0.399,-1.013
0.261,-0.357,-0.944
0.221,-0.287,-0.954
0.2,-0.267,-1.065
0.202,-0.275,-1.232
0.228,-0.314,-1.177
0.247,-0.335,-1.246
0.286,-0.38,-1.317
0.324,-0.414,-1.36
0.358,-0.457,-1.364
0.498,-0.486,-1.343
0.403,-0.494,-1.281
0.446,-0.485,-1.198
0.474,-0.482,-1.166
0.485,-0.48,-1.124
0.499,-0.482,-1.067
0.514,-0.5,-1.133
0.481,-0.555,-1.169
0.501,-0.628,-1.041
0.538,-0.689,-0.869
0.565,-0.644,-0.634
0.509,-0.485,-0.579
0.437,-0.386,-0.587
0.349,-0.318,-0.648
0.308,-0.304,-0.716
0.243,-0.331,-0.75
0.241,-0.37,-0.745
0.26,-0.389,-0.737
0.293,-0.414,-0.748
0.322,-0.434,-0.812
0.345,-0.462,-0.92
0.371,-0.542,-0.961
0.391,-0.598,-0.95
0.431,-0.651,-0.891
0.484,-0.692,-0.796
0.531,-0.708,-0.702
0.57,-0.715,-0.54
0.584,-0.7,-0.411
0.572,-0.626,-0.217
0.53,-0.553,-0.18
0.452,-0.452,-0.325
0.371,-0.427,-0.368
0.304,-0.436,-0.342
0.304,-0.513,-0.355
0.318,-0.59,-0.418
0.355,-0.654,-0.448
0.383,-0.745,-0.454
0.401,-0.771,-0.374
0.439,-0.75,-0.293
0.456,-0.714,-0.171
0.47,-0.688,-0.081
0.487,-0.697,0.029
0.479,-0.731,0.149
0.448,-0.724,0.212
0.412,-0.661,0.302
0.356,-0.523,0.329
0.308,-0.463,0.289
0.242,-0.44,0.257
0.23,-0.476,0.178
0.243,-0.56,0.089
0.252,-0.711,-0.031
0.228,-0.793,-0.057
0.22,-0.819,0.045
0.242,-0.786,0.168
0.252,-0.726,0.341
0.272,-0.672,0.445
0.301,-0.673,0.554
0.277,-0.653,0.691
0.215,-0.611,0.736
0.173,-0.548,0.733
0.114,-0.48,0.702
0.083,-0.433,0.659
0.029,-0.426,0.627
-0.011,-0.45,0.591
-0.005,-0.496,0.485
0.027,-0.542,0.373
0.026,-0.593,0.212
0.011,-0.671,0.197
0.013,-0.696,0.309
0.026,-0.605,0.481
0.201,-0.583,0.964
0.185,-0.575,1.023
0.149,-0.527,1.088
0.133,-0.531,1.139
0.142,-0.574,1.271
0.122,-0.527,1.316
0.052,-0.46,1.287
0.012,-0.476,1.142
-0.043,-0.485,1.046
-0.062,-0.509,0.871
-0.091,-0.544,0.741
-0.118,-0.567,0.629
-0.163,-0.58,0.656
-0.142,-0.557,0.883
-0.102,-0.844,1.496
0.087,-0.919,1.612
0.169,-0.775,1.59
-0.006,-0.577,1.479
-0.141,-0.418,1.149
-0.283,-0.427,0.87
-0.264,-0.523,0.739
-0.222,-0.636,0.702
-0.088,-0.807,0.811
-0.077,-0.677,0.876
-0.124,-0.589,0.85
-0.16,-0.494,0.808
-0.188,-0.471,0.781
-0.178,-0.491,0.78
-0.161,-0.526,0.784
-0.142,-0.568,0.81
-0.109,-0.578,0.846
-0.093,-0.575,0.868
-0.083,-0.566,0.882
-0.068,-0.563,0.887
-0.065,-0.56,0.883
-0.071,-0.558,0.863
-0.085,-0.549,0.849
-0.089,-0.54,0.859
-0.065,-0.542,0.875
-0.061,-0.552,0.883
-0.082,-0.549,0.883
-0.096,-0.522,0.846
-0.101,-0.517,0.817
-0.087,-0.535,0.83
-0.067,-0.55,0.863
-0.055,-0.554,0.865
-0.056,-0.556,0.842
-0.056,-0.556,0.812
-0.058,-0.551,0.801
-0.056,-0.548,0.796
-0.05,-0.553,0.781
-0.039,-0.562,0.775
-0.031,-0.577,0.795
-0.029,-0.574,0.817
-0.023,-0.573,0.832
-0.027,-0.561,0.834
-0.046,-0.54,0.808
-0.052,-0.541,0.796
-0.047,-0.548,0.798
-0.049,-0.552,0.811
-0.053,-0.547,0.811
-0.049,-0.556,0.814
-0.04,-0.566,0.808
-0.033,-0.565,0.806
-0.033,-0.562,0.809
-0.035,-0.555,0.815
-0.046,-0.542,0.822
-0.056,-0.533,0.814
-0.059,-0.549,0.805
-0.04,-0.582,0.809
-0.028,-0.595,0.816
-0.038,-0.585,0.827
-0.056,-0.555,0.847
-0.067,-0.525,0.852
-0.069,-0.519,0.856
-0.071,-0.529,0.861
-0.064,-0.549,0.863
-0.046,-0.567,0.858
-0.03,-0.585,0.831
-0.027,-0.598,0.824
-0.029,-0.593,0.818
-0.035,-0.57,0.828
-0.048,-0.556,0.841
-0.051,-0.548,0.845
-0.049,-0.554,0.84
-0.04,-0.576,0.828
-0.037,-0.592,0.81
-0.039,-0.591,0.826
-0.028,-0.574,0.852
-0.035,-0.567,0.857
-0.041,-0.561,0.843
-0.03,-0.568,0.822
-0.025,-0.587,0.796
-0.02,-0.596,0.793
-0.022,-0.592,0.802
-0.021,-0.582,0.806
-0.023,-0.577,0.812
-0.026,-0.574,0.821
-0.025,-0.576,0.832
-0.023,-0.575,0.845
-0.02,-0.586,0.845
-0.016,-0.6,0.846
-0.018,-0.607,0.851
-0.027,-0.595,0.851
-0.042,-0.579,0.836
-0.06,-0.554,0.828
-0.065,-0.545,0.824
-0.053,-0.556,0.83
-0.042,-0.584,0.82
-0.041,-0.594,0.81
-0.049,-0.584,0.807
-0.057,-0.558,0.803
-0.053,-0.549,0.79
-0.045,-0.555,0.788
-0.033,-0.582,0.793
-0.024,-0.6,0.831
-0.02,-0.599,0.846
-0.02,-0.582,0.862
-0.04,-0.563,0.853
-0.052,-0.556,0.833
-0.055,-0.559,0.83
-0.054,-0.572,0.837
-0.051,-0.581,0.841
-0.049,-0.585,0.847
-0.051,-0.582,0.854
-0.056,-0.567,0.849
-0.059,-0.559,0.838
-0.057,-0.564,0.824
-0.053,-0.575,0.809
-0.047,-0.599,0.813
-0.038,-0.605,0.83
-0.04,-0.602,0.859
-0.04,-0.585,0.857
-0.093,-0.539,1.435
-0.124,-0.519,1.475
-0.091,-0.549,1.543
-0.084,-0.55,1.554
-0.146,-0.5,1.554
-0.181,-0.405,1.529
-0.14,-0.356,1.281
-0.071,-0.426,1.082
-0.079,-0.573,0.758
-0.117,-0.632,0.629
-0.068,-0.684,0.72
0.029,-0.663,0.73
0.08,-0.63,0.634
0.101,-0.646,0.539
0.184,-0.778,0.561
0.274,-0.863,0.61
0.326,-0.892,0.61
0.343,-0.874,0.516
0.367,-0.853,0.488
0.291,-0.477,0.195
0.058,-0.557,-0.081
-0.114,-0.713,-0.569
0.028,-0.547,-0.428
0.09,-0.534,-0.413
0.144,-0.523,-0.371
0.246,-0.607,-0.245
0.344,-0.663,-0.185
0.427,-0.741,-0.205
0.511,-0.862,-0.159
0.536,-0.864,-0.148
0.443,-0.789,-0.221
0.362,-0.709,-0.304
0.248,-0.633,-0.371
0.074,-0.505,-0.538
-0.028,-0.472,-0.528
-0.017,-0.413,-0.449
0.043,-0.386,-0.384
0.121,-0.365,-0.368
0.206,-0.44,-0.343
0.322,-0.488,-0.357
0.465,-0.616,-0.374
0.65,-0.818,-0.321
0.83,-1.081,-0.331
0.696,-1.036,-0.434
0.506,-0.724,-0.59
0.242,-0.491,-0.632
0.132,-0.264,-0.627
0.028,-0.173,-0.626
0.033,-0.03,-0.671
0.088,-0.015,-0.705
0.177,-0.072,-0.73
0.243,-0.147,-0.797
0.333,-0.22,-0.844
0.431,-0.329,-0.849
0.686,-0.583,-0.732
0.765,-0.73,-0.68
0.757,-0.785,-0.802
0.55,-0.671,-1.012
0.388,-0.531,-1.036
0.269,-0.304,-0.971
0.19,-0.158,-0.936
0.055,-0.036,-1.013
-0.012,0.032,-1.03
0.045,-0.053,-1.013
0.246,-0.117,-0.939
0.325,-0.222,-1
0.353,-0.328,-1.093
0.408,-0.437,-1.179
0.426,-0.505,-1.322
0.409,-0.504,-1.409
0.382,-0.482,-1.422
0.359,-0.419,-1.448
0.325,-0.325,-1.484
0.263,-0.264,-1.502
0.25,-0.225,-1.455
0.244,-0.223,-1.344
0.252,-0.212,-1.257
0.269,-0.156,-1.191
0.276,-0.156,-1.22
0.283,-0.21,-1.267
0.331,-0.321,-1.264
0.406,-0.389,-1.258
0.442,-0.45,-1.297
0.453,-0.499,-1.346
0.462,-0.508,-1.348
0.454,-0.491,-1.336
0.436,-0.466,-1.325
0.421,-0.449,-1.328
0.414,-0.432,-1.334
0.403,-0.427,-1.355
0.38,-0.445,-1.369
0.371,-0.47,-1.309
0.376,-0.49,-1.202
0.391,-0.468,-0.954
0.367,-0.366,-0.845
0.292,-0.293,-0.803
0.263,-0.274,-0.778
0.26,-0.296,-0.785
0.282,-0.346,-0.833
0.326,-0.409,-0.913
0.374,-0.524,-0.94
0.397,-0.569,-0.935
0.423,-0.592,-0.911
0.45,-0.603,-0.885
0.466,-0.602,-0.843
0.486,-0.607,-0.782
0.485,-0.599,-0.756
0.459,-0.566,-0.66
0.434,-0.537,-0.561
0.412,-0.494,-0.497
0.38,-0.469,-0.442
0.348,-0.45,-0.358
0.316,-0.426,-0.292
0.322,-0.428,-0.255
0.372,-0.47,-0.235
0.417,-0.545,-0.219
0.43,-0.574,-0.245
0.434,-0.603,-0.339
0.43,-0.678,-0.376
0.487,-0.571,-1.093
0.542,-0.645,-1.11
0.578,-0.737,-1.128
0.517,-0.7,-1.169
0.382,-0.566,-1.192
0.141,-0.385,-1.384
0.087,-0.302,-1.392
0.09,-0.208,-1.365
0.161,-0.118,-1.237
0.237,-0.017,-1.261
0.19,-0.038,-1.284
0.215,-0.196,-1.321
0.226,-0.246,-1.29
0.3,-0.305,-1.195
0.329,-0.292,-1.205
0.325,-0.263,-1.262
0.297,-0.339,-1.329
0.285,-0.386,-1.341
0.306,-0.418,-1.316
0.386,-0.539,-1.272
0.418,-0.627,-1.249
0.395,-0.618,-1.255
0.325,-0.522,-1.28
0.29,-0.463,-1.27
0.281,-0.418,-1.221
